"actor","tconst","primaryTitle","startYear","decade","genres","averageRating"
"Zahra Saghrisaz","tt0156901","The Apple",1998,"1990s","Drama",7.2
"Iraj Sarbaz","tt0156901","The Apple",1998,"1990s","Drama",7.2
"Masashi Hirose","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Shûichi Ikeda","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Fuyumi Shiraishi","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Misa Kadota","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Yuzuru Fujimoto","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Banjô Ginga","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Oliver Page","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Shiho Nagoshi","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"John Burnley","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Kiyonobu Suzuki","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Yoshino Ôtori","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Ikuko Sugita","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Eiji Yanagisawa","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Michael Lindsay","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Crystal Roberts","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Leslie Buhr","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Mizuho Tsushima","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Jessie Gabrelle Silvedra","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Sumiichi Kanazawa","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Yumi Nakatani","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Issei Masamune","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Saori Katô","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Sanae Takagi","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Josette Prevost","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Daffy Spincer","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Peter Owht","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Masaya Taki","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Tetsuo Mizutori","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Kazuko Okada","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Ken'ichi Ogata","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Hiroaki Ishikawa","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Seiichi Suzuki","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Masami Iwasaki","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Katsuji Mori","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Kazusa Murai","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Taimei Suzuki","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Nami Okamoto","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Stan McCord","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Shigeki Mori","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Takeo Watanabe","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Hidekatsu Shibata","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Yô Inoue","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Sayaka Hata","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Minoru Midorikawa","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"David Clark","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Rumiko Ukai","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"Kôsei Hirota","tt0159509","Mobile Suit Gundam I",1981,"1980s","Action,Adventure,Animation",7
"John Barbata","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Wyking Jones","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Trey Davis","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Abstract Rude","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Raymond White","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Alecia Smith","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Heavy D & The Boyz","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Reggie Calloway","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Joe","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Howard Thompson","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Eric Roberson","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"After 7","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Trent Cameron","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Todd Boyd","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Mtume","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Melvin Lyons","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Morgan Rosen","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Geoffrey Blackshire","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"LisaRaye McCoy","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Jim Pons","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Brandi Wilson","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Aiysha Sinclair","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"La'Myia Good","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Blackstreet","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Tia Gainer","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Crystal Celeste Grant","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Marc Dorsey","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Sean Nelson","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Boogie Down Productions","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Duane Finley","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Levert","tt0161100","The Wood",1999,"1990s","Comedy,Drama,Romance",7
"Constantinos Staridas","tt0162162","Truants",1996,"1990s","Drama",7.9
"Anatoli Athanasiadou","tt0162162","Truants",1996,"1990s","Drama",7.9
"Mottel Hathaway","tt0162162","Truants",1996,"1990s","Drama",7.9
"Vivi Koka","tt0162162","Truants",1996,"1990s","Drama",7.9
"Emilios Chilakis","tt0162162","Truants",1996,"1990s","Drama",7.9
"Nikos Sofras","tt0162162","Truants",1996,"1990s","Drama",7.9
"Antonis Antoniou","tt0162162","Truants",1996,"1990s","Drama",7.9
"Nikos Georgakis","tt0162162","Truants",1996,"1990s","Drama",7.9
"Giorgos Evgenikos","tt0162162","Truants",1996,"1990s","Drama",7.9
"Tasos Nousias","tt0162162","Truants",1996,"1990s","Drama",7.9
"Petros Efthimiou","tt0162162","Truants",1996,"1990s","Drama",7.9
"Dimitris Voyatzis","tt0162162","Truants",1996,"1990s","Drama",7.9
"Zoi Tilinsky","tt0162162","Truants",1996,"1990s","Drama",7.9
"Peter Gosling","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Tim Harris","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Charlotte Brittain","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Saffron","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Sleeper","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Andy Tungate","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Patrick Wilde","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Kate McEnery","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Ian Brimble","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Charlotte Hanson","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Mathew Priest","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"David Elliot","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"David Paul West","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Steven Swannell","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Ben Silverstone","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Judy Buxton","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Steven Mason","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Andy Miller","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Amy Redler","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Tom Edgar","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Jacquetta May","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Dodgy","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Nicholas Hunter","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Louise Wener","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Morgan Jones","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Republica","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Brad Gorton","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Nigel Clark","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Martin Milman","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"David Lumsden","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Patrick Nielsen","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Leonie Thomas","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Alina Hazeldine","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"James D. White","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Louise Taylor-Smith","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Dorothy Clark","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Stacy Hart","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"James Perkins","tt0162973","Get Real",1998,"1990s","Comedy,Drama,Romance",7.5
"Afrouli Bersou","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Kostas Kapetanios","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Anastasios Pantazis","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Katerina Louri","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Penny Fotiadi","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Stella Kazazi","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Efi Stamouli","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Alexandros Tsakiris","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Giorgos Nasios","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Alekos Papadopoulos","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Stergios Tzaferis","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Alexandros Eukleidis","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Thodoros Teknetzidis","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Maria Fragou","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Thodoris Ignatiadis","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Olga Klimi","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Fani Alexaki","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Sofia Sidiropoulou","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Giorgos Dinalis","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Giannis Mohlas","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Angeliki Lemoni","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Evanthia Sofronidou","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Tony Court","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Nikos Kapelios","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Vana Pashali","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Kyriakos Katehis","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Menelaos Hazarakis","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Giorgos Armenis","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Kyriaki Mathe","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Nikos Pashoulas","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Grigoris Manolopoulos","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Agapios Agapiou","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Katerina Sagia","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Chrysa Avrami","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Makis Pappas","tt0164063","It's a Long Road",1998,"1990s","Drama",7.9
"Angela Chadfield","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Garrett Pennery","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Ann Moland","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Fergus McLarnon","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Gary Springer","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Justine Midda","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Kristine Ingvaldsen","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Alexander West","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Jean Johansson","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Hans Petter Moland","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Jon Erling Wevling","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Nina Andresen Borud","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
"Matthew Wynn","tt0168446","Aberdeen",2000,"2000s","Drama",7.1
