"actor","tconst","primaryTitle","startYear","decade","genres","averageRating"
"Jean-Guy Lecat","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Sarah Hardenberg","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Juran Mladen","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Roland Guillemard","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Géraldine Baaron","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Ambroise M'Bia","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Robert Liensol","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Danièle","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Djibrill","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Georges Kalymnos","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Alfred Panou","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Odette Piquet","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Med Hondo","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Hortense Guillemard","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Théo Légitimus","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Josette Barnet","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Jean Edmond","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Les Black Echos","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Ginette Franck","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Mabousso Lo","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Georges Hilarion","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"François Pailleux","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Bill Layne","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Phil Harris","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Larry Clemmons","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Paul Winchell","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Hermione Baddeley","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Roddy Maude-Roxby","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Lord Tim Hudson","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Gary Dubin","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Frank Thomas","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Terry Gilkyson","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Robie Lester","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Sterling Holloway","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Thurl Ravenscroft","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Dan MacManus","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Scatman Crothers","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Eva Gabor","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Liz English","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Nancy Kulp","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Dean Clark","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Al Rinker","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Vito Scotti","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Monica Evans","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Pat Buttram","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"George Lindsey","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Roman Khomyatov","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Vladimir Naumov","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Naum Korzhavin","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Nikolay Badin","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"V. Shikalova","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"V. Portugalov","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Valentina Malyanova","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Aleksei Naumov","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Richard Benjamin","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Frannie Michel","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"William Kiehl","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Lydia Wilen","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"I.W. Klein","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Renee Semes","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Valma","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Kurt Garfield","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Lorraine Cullen","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Lee Addoms","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Jason Holt","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Del Lewis","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Carrie Snodgress","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Béatrice Romand","tt0065772","Claire's Knee",1970,"1970s","Drama,Romance",7.4
"Jean-Claude Brialy","tt0065772","Claire's Knee",1970,"1970s","Drama,Romance",7.4
"Laurence de Monaghan","tt0065772","Claire's Knee",1970,"1970s","Drama,Romance",7.4
"Gérard Falconetti","tt0065772","Claire's Knee",1970,"1970s","Drama,Romance",7.4
"Éric Rohmer","tt0065772","Claire's Knee",1970,"1970s","Drama,Romance",7.4
"Michèle Montel","tt0065772","Claire's Knee",1970,"1970s","Drama,Romance",7.4
"Sandra Franchina","tt0065772","Claire's Knee",1970,"1970s","Drama,Romance",7.4
"Aurora Cornu","tt0065772","Claire's Knee",1970,"1970s","Drama,Romance",7.4
"Steve Miranda","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Chief Leonard George","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Cal Bellini","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Linda Dyer","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Bud Cokes","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Thayer David","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Bert Conway","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Norman Nathan","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Chief Dan George","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Richard Mulligan","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Jesse Vint","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Kelly Jean Peters","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Rory O'Brien","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Earl Rosell","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Cecelia Kootenay","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Emily Cho","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Aimee Eccles","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Philip Kenneally","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Alan Howard","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"John Hammond","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Robert Little Star","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Ruben Moreno","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Clifford Hutchison","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Jack Mullaney","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Helen Verbit","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Carole Androsky","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Ray Dimas","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Lou Cutell","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Steve Shemayne","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Ken Mayer","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Jeff Corey","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Dean Smith","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"James Anderson","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Jack Bannon","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Dessie Bad Bear","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Tracy Hotchner","tt0065988","Little Big Man",1970,"1970s","Adventure,Comedy,Drama",7.5
"Brian O'Higgins","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Sarah Miles","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Barry Foster","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Pedro Vidal","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Owen Sullivan","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Des Keogh","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Robert Huke","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Marie Kean","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Arthur O'Sullivan","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Trevor Howard","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"John Mills","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Donal Neligan","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Gerald Sim","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Christopher Jones","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Evin Crowley","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Philip O'Flynn","tt0066319","Ryan's Daughter",1970,"1970s","Drama,Romance",7.4
"Mia Oremovic","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Dragan Rajakovic","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Nikola Gec","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Milan Micic","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Viki Glovacki","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Karlo Sipek","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Vanja Timer","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Roman Butina","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Mihajlo Smoljanovic","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Mirjana Bohanec","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Tomislav Zganec","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Vida Jerman","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Ivo Skrabalo","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Drago Bahun","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Franjo Majetic","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Lena Politeo","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Rikard Brzeska","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Marijan Radmilovic","tt0066461","One Song a Day Takes Mischief Away",1970,"1970s","Comedy,Drama,Musical",8.5
"Haci Bayram Kisacik","tt0066500","Hope",1970,"1970s","Drama",7.9
"Sevgi Tatli","tt0066500","Hope",1970,"1970s","Drama",7.9
"Kemal Tatli","tt0066500","Hope",1970,"1970s","Drama",7.9
"Sema Engin","tt0066500","Hope",1970,"1970s","Drama",7.9
"Semra Kaya","tt0066500","Hope",1970,"1970s","Drama",7.9
"Gülsen Alniaçik","tt0066500","Hope",1970,"1970s","Drama",7.9
"Arif Erkin Güzelbeyoglu","tt0066500","Hope",1970,"1970s","Drama",7.9
"Hicret Gürson","tt0066500","Hope",1970,"1970s","Drama",7.9
"Mehmet Eken","tt0066500","Hope",1970,"1970s","Drama",7.9
"Leslie Linder","tt0066730","10 Rillington Place",1971,"1970s","Biography,Crime,Drama",7.5
"Ray Barron","tt0066730","10 Rillington Place",1971,"1970s","Biography,Crime,Drama",7.5
"Phyllis MacMahon","tt0066730","10 Rillington Place",1971,"1970s","Biography,Crime,Drama",7.5
"Pat Heywood","tt0066730","10 Rillington Place",1971,"1970s","Biography,Crime,Drama",7.5
"Ludovic Kennedy","tt0066730","10 Rillington Place",1971,"1970s","Biography,Crime,Drama",7.5
"Norma Shebbeare","tt0066730","10 Rillington Place",1971,"1970s","Biography,Crime,Drama",7.5
"Tommy Ansah","tt0066730","10 Rillington Place",1971,"1970s","Biography,Crime,Drama",7.5
"Judy Geeson","tt0066730","10 Rillington Place",1971,"1970s","Biography,Crime,Drama",7.5
"Miss Riley","tt0066730","10 Rillington Place",1971,"1970s","Biography,Crime,Drama",7.5
"Edwin Brown","tt0066730","10 Rillington Place",1971,"1970s","Biography,Crime,Drama",7.5
"John Orchard","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"James McInnes","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Sam Jaffe","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Dal McKennon","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Jim Swain","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Bruce Forsyth","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Hal Gausman","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Tessie O'Shea","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Ian Weighill","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Lennie Weinrib","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Roy Snart","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Ben Wrigley","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Cyril Delevanti","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Cotton Warburton","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Manfred Lating","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Rick Traeger","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Arthur Gould-Porter","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"John Ericson","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Bill Walsh","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"David Tomlinson","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Cindy O'Callaghan","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Milt Larsen","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Donald McKayle","tt0066817","Bedknobs and Broomsticks",1971,"1970s","Adventure,Animation,Comedy",7.1
"Isabel del Río","tt0066906","Le Chat",1971,"1970s","Drama",7.5
"Florence Haguenauer","tt0066906","Le Chat",1971,"1970s","Drama",7.5
"Annie Cordy","tt0066906","Le Chat",1971,"1970s","Drama",7.5
"Marie Mansart","tt0066989","Two English Girls",1971,"1970s","Drama,Romance",7.2
"Stacey Tendeter","tt0066989","Two English Girls",1971,"1970s","Drama,Romance",7.2
"Jeanne Lobre","tt0066989","Two English Girls",1971,"1970s","Drama,Romance",7.2
"Marie Iracane","tt0066989","Two English Girls",1971,"1970s","Drama,Romance",7.2
"Mark Peterson","tt0066989","Two English Girls",1971,"1970s","Drama,Romance",7.2
"Christian Lentretien","tt0066989","Two English Girls",1971,"1970s","Drama,Romance",7.2
"Ken Russell","tt0066993","The Devils",1971,"1970s","Biography,Drama,History",7.7
"John Whiting","tt0066993","The Devils",1971,"1970s","Biography,Drama,History",7.7
"Graham Armitage","tt0066993","The Devils",1971,"1970s","Biography,Drama,History",7.7
"Christopher Logue","tt0066993","The Devils",1971,"1970s","Biography,Drama,History",7.7
"Catherine Willmer","tt0066993","The Devils",1971,"1970s","Biography,Drama,History",7.7
"Georgina Hale","tt0066993","The Devils",1971,"1970s","Biography,Drama,History",7.7
"John Larch","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"George Fargo","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Harry Guardino","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Josef Sommer","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"John Vernon","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"David Gilliam","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Ruth Kobart","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Woodrow Parfrey","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Reni Santoni","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Mae Mercer","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"William Paterson","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Lyn Edgington","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"James Nolan","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Scott Hale","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Maurice Argent","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Craig Kelly","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"William N. Clark","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Glenn Wright","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Jo de Winter","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Andrew Robinson","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"John Mitchum","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Dean Riesner","tt0066999","Dirty Harry",1971,"1970s","Action,Crime,Thriller",7.7
"Richard Gibson","tt0067144","The Go-Between",1971,"1970s","Drama,Romance",7.1
"Amaryllis Garnett","tt0067144","The Go-Between",1971,"1970s","Drama,Romance",7.1
"Margaret Leighton","tt0067144","The Go-Between",1971,"1970s","Drama,Romance",7.1
"Dominic Guard","tt0067144","The Go-Between",1971,"1970s","Drama,Romance",7.1
"Simon Hume-Kendall","tt0067144","The Go-Between",1971,"1970s","Drama,Romance",7.1
"Christiane Muller","tt0067274","Jo",1971,"1970s","Comedy,Crime,Thriller",7.1
"Jean Valmence","tt0067274","Jo",1971,"1970s","Comedy,Crime,Thriller",7.1
"Claude Magnier","tt0067274","Jo",1971,"1970s","Comedy,Crime,Thriller",7.1
"Jean Girault","tt0067274","Jo",1971,"1970s","Comedy,Crime,Thriller",7.1
"Raymond Lefebvre","tt0067274","Jo",1971,"1970s","Comedy,Crime,Thriller",7.1
"Eugène Moineau","tt0067274","Jo",1971,"1970s","Comedy,Crime,Thriller",7.1
"Jean-Roch Rognoni","tt0067274","Jo",1971,"1970s","Comedy,Crime,Thriller",7.1
"Dominique Zardi","tt0067274","Jo",1971,"1970s","Comedy,Crime,Thriller",7.1
"Reza Bani Ahmad","tt0067649","Downpour",1972,"1970s","Comedy,Drama,Romance",7.2
"Said Oveissi","tt0067649","Downpour",1972,"1970s","Comedy,Drama,Romance",7.2
"Parviz Fanizadeh","tt0067649","Downpour",1972,"1970s","Comedy,Drama,Romance",7.2
"Hossein Kasbian","tt0067649","Downpour",1972,"1970s","Comedy,Drama,Romance",7.2
"Manuchehr Farid","tt0067649","Downpour",1972,"1970s","Comedy,Drama,Romance",7.2
"Abbas Dastranj","tt0067649","Downpour",1972,"1970s","Comedy,Drama,Romance",7.2
"Esmat Safavi","tt0067649","Downpour",1972,"1970s","Comedy,Drama,Romance",7.2
"Farkhondeh Bavar","tt0067649","Downpour",1972,"1970s","Comedy,Drama,Romance",7.2
"Jim Norton","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"James Swann","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"T.P. McKenna","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Del Henney","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Billy Cornelius","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Peter Arne","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Susan George","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Cherina Schaer","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Colin Welland","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Peter Vaughan","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Donald Webster","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Len Jones","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Katherine Haber","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Ken Hutchison","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Sally Thomsett","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Bob Keegan","tt0067800","Straw Dogs",1971,"1970s","Crime,Drama,Thriller",7.4
"Jadwiga Halina Gallowa","tt0067885","The Third Part of the Night",1971,"1970s","Drama,Horror,War",7.3
"Janusz Miszczak","tt0067885","The Third Part of the Night",1971,"1970s","Drama,Horror,War",7.3
"Janina Ordezanka","tt0067885","The Third Part of the Night",1971,"1970s","Drama,Horror,War",7.3
"Michal Grudzinski","tt0067885","The Third Part of the Night",1971,"1970s","Drama,Horror,War",7.3
"Jerzy Golinski","tt0067885","The Third Part of the Night",1971,"1970s","Drama,Horror,War",7.3
"Halina Czengery","tt0067885","The Third Part of the Night",1971,"1970s","Drama,Horror,War",7.3
"Andrzej Lajborek","tt0067885","The Third Part of the Night",1971,"1970s","Drama,Horror,War",7.3
"Leszek Teleszynski","tt0067885","The Third Part of the Night",1971,"1970s","Drama,Horror,War",7.3
"Art Aragon","tt0068575","Fat City",1972,"1970s","Drama,Sport",7.2
"Billy Walker","tt0068575","Fat City",1972,"1970s","Drama,Sport",7.2
"Susan Tyrrell","tt0068575","Fat City",1972,"1970s","Drama,Sport",7.2
"Wayne Mahan","tt0068575","Fat City",1972,"1970s","Drama,Sport",7.2
"Ruben Navarro","tt0068575","Fat City",1972,"1970s","Drama,Sport",7.2
"Curtis Cokes","tt0068575","Fat City",1972,"1970s","Drama,Sport",7.2
"Sixto Rodriguez","tt0068575","Fat City",1972,"1970s","Drama,Sport",7.2
"Nicholas Colasanto","tt0068575","Fat City",1972,"1970s","Drama,Sport",7.2
"Bill Roper","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Rudy Bond","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Al Lettieri","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Franco Citti","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Ralph Blane","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Al Pacino","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Victor Rendina","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Lenny Montana","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Sterling Hayden","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Al Martino","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Michael Briggs","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Ardell Sheridan","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"John Marley","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Richard S. Castellano","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Jeannie Linero","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"James Caan","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Alex Rocco","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Talia Shire","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Simonetta Stefanelli","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Tony Brandt","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Richard Portman","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"Carlo Savina","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
"J. Fred Coots","tt0068646","The Godfather",1972,"1970s","Crime,Drama",9.2
