"tconst","primaryTitle","startYear","genres","decade","averageRating","numVotes"
"tt1227524","Aashayein",2010,"Drama","2010s",7.1,1402
"tt0082073","Bianco, rosso e Verdone",1981,"Comedy","1980s",7.4,4683
"tt2468774","Confession of Murder",2012,"Action,Crime,Thriller","2010s",7,12872
"tt8980602","The Kid Detective",2020,"Comedy,Drama,Mystery","2020s",7,25422
"tt0117958","Trees Lounge",1996,"Comedy,Drama","1990s",7.1,18787
"tt6493286","1987: When the Day Comes",2017,"Drama,History,Thriller","2010s",7.7,7956
"tt6628102","The Wild Pear Tree",2018,"Drama","2010s",8,30615
"tt9203168","Moromete Family: On the Edge of Time",2018,"Drama","2010s",7.6,2094
"tt10905616","Raja Vaaru Rani Gaaru",2019,"Romance","2010s",7.4,1028
"tt13694628","Nitram",2021,"Crime,Drama,Thriller","2020s",7.1,12905
"tt0084345","My Friend Ivan Lapshin",1985,"Drama","1980s",7.4,2981
"tt20215234","Conclave",2024,"Thriller","2020s",7.4,257672
"tt14402926","Batman: The Long Halloween, Part Two",2021,"Action,Animation,Crime","2020s",7.2,19260
"tt6494358","Clive Davis: The Soundtrack of Our Lives",2017,"Documentary","2010s",7.5,1386
"tt11994750","Made You Look: A True Story About Fake Art",2020,"Crime,Documentary","2020s",7,5140
"tt0248036","Get Ready to Be Boyzvoiced",2000,"Comedy,Music","2000s",7.3,1685
"tt0068646","The Godfather",1972,"Crime,Drama","1970s",9.2,2220339
"tt0070379","Mean Streets",1973,"Crime,Drama,Thriller","1970s",7.2,127919
"tt0281724","Cinemania",2002,"Documentary","2000s",7.1,2450
"tt31719063","Veppam Kulir Mazhai",2024,"Thriller","2020s",7,2227
"tt0322420","Life Is a Miracle",2004,"Comedy,Drama,Music","2000s",7.5,13870
"tt0244585","Khubsoorat",1980,"Comedy,Drama,Family","1980s",7.6,2062
"tt0304126","Grill Point",2002,"Comedy,Drama","2000s",7.1,1762
"tt6613814","Solo",2017,"Action,Drama,Thriller","2010s",7,4684
"tt0103704","A Scene at the Sea",1991,"Comedy,Drama,Romance","1990s",7.5,7377
"tt1478839","The Art of Racing in the Rain",2019,"Comedy,Drama,Romance","2010s",7.6,48453
"tt0108677","Sundays on Leave",1993,"Comedy,Drama","1990s",7.8,1268
"tt6613470","PSV Garuda Vega",2017,"Action,Drama","2010s",7.6,1409
"tt14179942","Good Night Oppy",2022,"Documentary","2020s",7.7,5454
"tt0390538","Tarnation",2003,"Biography,Documentary","2000s",7.1,6886
"tt10262648","Compartment Number 6",2021,"Drama,Romance","2020s",7.2,18447
"tt17511190","Facing Nolan",2022,"Biography,Documentary,Sport","2020s",7.9,2091
"tt9806192","I Lost My Body",2019,"Animation,Drama,Fantasy","2010s",7.5,38667
"tt2362062","Parviz",2012,"Crime,Drama,Thriller","2010s",7.1,1104
"tt0983213","5 Centimeters per Second",2007,"Animation,Drama,Family","2000s",7.4,70802
"tt0253151","Iyi Aile Çocugu",1978,"Comedy","1970s",7.1,3281
"tt0104602","Kein Pardon",1993,"Comedy","1990s",7.2,2741
"tt0072443","Mirror",1975,"Biography,Drama","1970s",7.9,57482
"tt0073114","The Story of Adele H",1975,"Biography,Drama,History","1970s",7.2,9890
"tt1043842","Appleseed: Ex Machina",2007,"Action,Adventure,Animation","2000s",7,10083
"tt0096894","Bashu, the Little Stranger",1989,"Drama,War","1980s",8,3775
